iter	Passed	Remaining
0	117	11631
1	174	8528
2	226	7337
3	280	6722
4	332	6320
5	385	6035
6	437	5808
7	490	5644
8	544	5508
9	599	5395
10	658	5328
11	712	5223
12	765	5123
13	817	5024
14	870	4931
15	921	4839
16	974	4760
17	1033	4706
18	1088	4642
19	1151	4604
20	1211	4557
21	1264	4482
22	1317	4409
23	1369	4337
24	1421	4264
25	1474	4196
26	1527	4130
27	1580	4065
28	1636	4007
29	1717	4007
30	1770	3941
31	1822	3873
32	1874	3806
33	1926	3740
34	1978	3674
35	2030	3609
36	2083	3547
37	2137	3486
38	2190	3425
39	2241	3362
40	2293	3300
41	2346	3240
42	2399	3180
43	2450	3119
44	2503	3059
45	2556	3000
46	2611	2944
47	2665	2887
48	2718	2829
49	2770	2770
50	2822	2711
51	2874	2653
52	2926	2594
53	2977	2536
54	3029	2479
55	3082	2421
56	3135	2365
57	3188	2308
58	3240	2251
59	3292	2195
60	3344	2138
61	3396	2081
62	3448	2025
63	3500	1969
64	3555	1914
65	3610	1859
66	3664	1804
67	3717	1749
68	3769	1693
69	3821	1637
70	3873	1582
71	3930	1528
72	3984	1473
73	4041	1419
74	4093	1364
75	4152	1311
76	4205	1256
77	4256	1200
78	4309	1145
79	4361	1090
80	4413	1035
81	4465	980
82	4518	925
83	4573	871
84	4626	816
85	4684	762
86	4737	707
87	4789	653
88	4842	598
89	4894	543
90	4947	489
91	4999	434
92	5051	380
93	5103	325
94	5162	271
95	5215	217
96	5268	162
97	5320	108
98	5372	54
99	5427	0
