Data_Type,Run_Name,Fault_Name,Time_Step,TIME,S1V1,S1V2,S1V3,S1V4,S1V5,S1I1,S1I2,S1I3,S1I4,S1I5,S1P1,S1P2,S1P3,S1P4,S1P5,S2V1,S2V2,S2V3,S2V4,S2V5,S2I1,S2I2,S2I3,S2I4,S2I5,S2P1,S2P2,S2P3,S2P4,S2P5,S3V1,S3V2,S3V3,S3V4,S3V5,S4V1,S4V2,S4V3,S4V4,S4V5,S34PV1,S34PV2,S34PV3,S34PV4,S34PV5,S3I1,S3I2,S3I3,S3I4,S3I5,S4I1,S4I2,S4I3,S4I4,S4I5,S34PI1,S34PI2,S34PI3,S34PI4,S34PI5,S34V1,S34V2,S34V3,S34V4,S34V5,S34I1,S34I2,S34I3,S34I4,S34I5
calibration,2901,Normal,1,15.32813,146.2126,7.474548,5.444838,2.468795,1.458764,2.651642,0.003890586,0.002744826,0.0008109889,0.0001367776,6.878,-106.76,149.46,145.28,-167.26,86.4938,6.578624,5.08493,2.336065,1.307631,1.63123,0.0007294827,0.0001733864,5.058421e-05,1.078984e-05,-5.629999,-10.79,153.57,-49.57,51.83,702.4818,18.37438,4.35146,2.633208,1.663355,499.7296,7.50732,1.741747,0.6902161,0.1145473,173.0,72.36,-160.2,52.49,148.3,7.065862,0.04337755,0.01238839,0.001231728,0.005075923,8.313133,0.0429057,0.02618273,0.006180378,0.0008861661,-1.079999,45.16,78.78,171.0,142.5,699.5128,19.39543,5.041583,2.695145,172.2877,14.99166,0.06454559,0.01840624,0.00502132,0.004922229
calibration,2901,Normal,2,18.45703,145.8764,7.500408,5.459276,2.465954,1.457085,2.657755,0.003940171,0.002760672,0.0008166105,0.0001303212,6.343,-106.66,147.46,143.08,-169.26,87.69708,6.54689,5.103698,2.311985,1.300125,1.605148,0.0007227949,0.0001778341,5.058421e-05,1.078984e-05,-5.09,178.13,154.17,-52.71,45.68,702.4818,18.35848,4.344953,2.630178,1.66911,498.58,7.378787,1.729757,0.6760597,0.1067788,173.0,71.83,-160.3,52.35,150.3,7.044742,0.04337755,0.01263325,0.001227482,0.0050236,8.267323,0.04251233,0.02573445,0.006081559,0.000876022,-1.150001,46.03,78.31,170.9,142.2,699.563,19.37219,5.020921,2.687807,172.2852,14.92634,0.06425314,0.01790223,0.004926717,0.004871577
calibration,2901,Normal,3,21.58984,146.8875,7.413699,5.43732,2.437727,1.447055,2.633389,0.004036594,0.002747989,0.0008147323,0.0001244557,5.273,-108.66,144.66,140.98,-174.26,87.89921,6.419999,4.982932,2.28552,1.283764,1.62,0.0007328499,0.0001764067,5.116994e-05,1.078984e-05,-5.09,176.73,152.17,-95.6,46.28,700.7857,18.34258,4.368527,2.633208,1.672958,495.6043,7.361815,1.715873,0.67918,0.1081396,173.0,72.29,-160.2,52.76,152.9,7.044742,0.04337755,0.01261871,0.001224658,0.005006278,8.267323,0.04207412,0.02573445,0.006005028,0.0008709938,-1.150001,46.69,78.24,170.6,142.0,697.8737,19.3478,5.047616,2.691589,172.2836,14.92634,0.06392862,0.01790809,0.004853026,0.004854954
calibration,2901,Normal,4,24.71875,146.8875,7.372842,5.386851,2.43212,1.443727,2.636422,0.003990388,0.002747989,0.0008166105,0.0001303212,6.009,-108.16,146.56,142.68,-170.76,86.99317,6.467479,4.978918,2.28289,1.289689,1.612557,0.0007211325,0.0001725897,5.176249e-05,1.129835e-05,-5.43,180.33,151.97,-88.4,49.82,701.6739,18.35848,4.372049,2.639277,1.672958,495.8896,7.524627,1.706023,0.66525,0.1048299,173.0,71.22,-160.2,53.36,146.8,7.044742,0.04337755,0.01275014,0.001220436,0.005012045,8.256858,0.04221968,0.02582349,0.005977437,0.0008709938,-1.150001,46.29,78.11,170.5,141.9,698.6982,19.3576,5.037209,2.695823,172.2836,14.9161,0.06403627,0.01793482,0.004829427,0.004860634
calibration,2901,Normal,5,27.84766,146.5498,7.357578,5.393677,2.423734,1.443727,2.636422,0.003953803,0.002738514,0.0008147323,0.0001292752,5.808,-108.06,146.26,141.98,-171.16,86.69324,6.408922,4.960038,2.280263,1.289689,1.623735,0.0007219631,0.0001741867,5.000519e-05,1.026869e-05,-5.49,179.03,152.27,-52.31001,49.15,700.7857,18.37438,4.375071,2.639277,1.672958,496.5181,7.524627,1.706023,0.6745048,0.1081396,172.9,71.69,-160.2,52.35,-36.16,7.044742,0.04337755,0.01272082,0.001224658,0.005012045,8.267323,0.0420257,0.02546918,0.006011945,0.0008740071,-1.150001,46.69,77.96999,170.6,141.9,697.8101,19.37345,5.049484,2.697655,172.1836,14.92634,0.06389284,0.0176311,0.004859922,0.004860373
calibration,2901,Normal,6,30.98047,146.8875,7.31703,5.389954,2.426526,1.448722,2.627331,0.003967484,0.002751154,0.0008156707,0.0001324387,5.608,-108.26,146.16,142.88,-169.66,87.19368,6.414827,4.993845,2.26196,1.292662,1.63499,0.0007481955,0.0001733864,5.000519e-05,1.026869e-05,-5.290001,-13.26,-31.64,-51.91,43.27,700.7857,18.35848,4.372049,2.639277,1.674885,496.5181,7.498682,1.700141,0.6698614,0.1048299,172.9,71.83,-160.2,53.09,-42.38,7.034209,0.04337755,0.01276483,0.001223249,0.0050236,8.256858,0.04221968,0.02546918,0.006005028,0.0008689905,-1.150001,46.49,77.84,170.6,141.8,697.8202,19.35398,5.04182,2.695823,172.1828,14.90588,0.06403627,0.01761387,0.00485433,0.00487219
calibration,2901,Normal,7,34.10938,146.8875,7.322087,5.393677,2.420946,1.442066,2.627331,0.003985795,0.002738514,0.0008166105,0.0001292752,5.474,-108.06,146.66,142.28,-172.06,86.59346,6.43554,4.993845,2.26196,1.286723,1.625605,0.0007219631,0.0001717967,5.058421e-05,1.026869e-05,-5.219999,178.03,152.57,-54.12,46.28,700.7857,18.34258,4.382128,2.639277,1.674885,495.6043,7.541973,1.711926,0.6690907,0.1048299,173.0,71.16,-160.2,53.36,-40.04,7.044742,0.04337755,0.01272082,0.001221842,0.005012045,8.267323,0.04207412,0.02564573,0.006005028,0.0008640026,-1.150001,46.69,77.91,170.4,141.9,697.8033,19.34537,5.051128,2.695823,172.2828,14.92634,0.06392862,0.0177881,0.004855634,0.004861247
calibration,2901,Normal,8,37.23828,146.5498,7.31703,5.397405,2.420946,1.447055,2.651642,0.003990388,0.002751154,0.000813795,0.0001298718,5.875,-107.86,146.86,142.88,-170.26,86.4938,6.451861,4.971472,2.280263,1.286723,1.636874,0.0007533818,0.0001747894,5.058421e-05,1.026869e-05,-5.360001,-11.12,-30.43,-51.04,47.08,700.7857,18.34258,4.382128,2.633208,1.674885,495.8896,7.31956,1.709956,0.6752816,0.1055565,172.9,72.16,-160.2,52.89,150.3,7.034209,0.04337755,0.01272082,0.001220436,0.004994764,8.267323,0.04217111,0.0255573,0.006053619,0.0008689905,-1.21,46.63,77.84,170.5,141.7,697.8903,19.34416,5.057318,2.690159,172.1828,14.91612,0.06400032,0.01770942,0.004905385,0.004843788
calibration,2901,Normal,9,40.42969,146.5498,7.337278,5.3757,2.412598,1.443727,2.6425,0.003953803,0.002754324,0.0008166105,0.0001309227,5.875,-107.46,147.06,142.38,-171.16,87.39472,6.446664,4.964037,2.264566,1.289689,1.629353,0.0007345394,0.0001733864,5.058421e-05,1.129835e-05,-5.360001,177.13,152.67,-95.7,45.61,700.7857,18.35848,4.378598,2.633208,1.674885,495.6043,7.50732,1.696231,0.6675519,0.1093918,172.9,71.96,-160.2,53.22,153.9,7.034209,0.04337755,0.01275014,0.001220436,0.005006278,8.256858,0.04192904,0.0255573,0.005956828,0.0008610237,-1.079999,46.96,77.71,170.3,141.6,697.8168,19.35158,5.046059,2.692283,172.1828,14.90588,0.06382148,0.01769787,0.004808879,0.004855829
calibration,2901,Normal,10,43.55859,146.8875,7.362663,5.3757,2.423734,1.448722,2.627331,0.003972053,0.002751154,0.0008128585,0.0001292752,5.608,-107.46,146.56,142.68,-170.66,86.4938,6.457063,4.990396,2.269786,1.286723,1.636874,0.0007499203,0.0001741867,5.116994e-05,9.761467e-06,-5.290001,-11.52,-31.77,-52.38,42.47,699.9792,18.34258,4.375071,2.633208,1.674885,495.8896,7.498682,1.709956,0.6675519,0.1023257,172.9,72.03,-160.3,53.09,150.3,7.034209,0.04337755,0.01273547,0.001220436,0.005012045,8.256858,0.04221968,0.02564573,0.005991217,0.0008730016,-1.150001,46.83,77.84,170.4,141.7,697.0137,19.34416,5.042532,2.688372,172.1828,14.90588,0.06403627,0.01778229,0.004843166,0.00486046
